label,description
asr,Ancestral State Reconstruction
criticism,
d-statistic,
dating,phylogenetic dating
delta,Reticulation metric delta
distance,distance methods (UPGMA, NJ)
likelihood,Maximum Likelihood methods
macroevolutionary,Inferring macroevolutionary processes from the data
methodological,methodological development
phylogenetic,Inferring the phylogeny of the taxa
phylogeography,Inferring the geography of the taxa
qresidual,Reticulation metric Q-Residual
review,
structure,structure analysis
tiger,TIGER rates
trait,Inferring trait history
tutorial,Tutorial paper
