label,description
bayesian,Bayesian methods
distance,distance methods (UPGMA, NJ)
likelihood,Maximum Likelihood methods
network,Network methods
parsimony,Maximum Parsimony methods
statistical,Other statistical framework (e.g. frequentist)
other,
