label,description
,no specification
basic,generic basic vocabulary
ethatlas,ethnographic atlas variable
leipzigjakarta,Leipzig-Jakarta list
leipzigjakartajena,Leipzig-Jakarta-Jena list
subset,Subset of other dataset
swadesh100,Swadesh 100 wordlist
swadesh200,Swadesh 200 wordlist
swadesh35,Swadesh 35 wordlist
ura100,Uralic 100 wordlist
yakhontov35,Yakhontov's 35 list
