term,label,description
author,Kateřina Rexová,
author,Seongha Rhee,
author,Lincoln A. Ribeiro,
author,Don Ringe,
author,Martine Robbeets,
author,Patrick Roberts,
author,Laura C. Robinson,
author,Carmen Reis Rodrigues,
author,Robert M. Ross,
author,Erich Round,
author,Robin J. Ryder,
author,Laurent Sagart,
author,Takehiro Sato,
author,Alexander Savelyev,
author,Susanne Shultz,
author,Noriko Seguchi,
author,Ken-ichi Shinoda,
author,Mark A. Sicoli,
author,Paul Sidwell,
author,Giuseppina Silvestri,
author,Eric D. Smith,
author,Justin Spence,
author,Mark Stoneking,
author,Luciana Storto,
author,Marc A. Suchard,
author,Kaj Syrjänen,
author,Hiroto Takamiya,
author,Ann Taylor,
author,Angela Terrill
author,Valentin Thouzeau,
author,Hirotaka Tomita,
author,Alfred Toth,
author,Tiago Tresoldi,
author,Sylvia Tufvesson,
author,Junzo Uchiyama,
author,Chris Venditti,
author,Annemarie Verkerk,
author,Outi Vesakoski,
author,Niklas Wahlberg,
author,Robert S. Walker,
author,Feng Wang,
author,Tandy Warnow,
author,Vivian Wauters,
author,Ward C. Wheeler,
author,Peter M. Whiteley,
author,Jon Wilkins,
author,Baihui Wu,
author,Chieh-Hsi Wu,
author,Mei-Shin Wu,
author,Ming Xue,
author,Ken-Yōjiro Yamano,
author,Shi Yan,
author,Minoru Yoneda,
author,Petr Zemánek,
author,Fan Zhang,
author,Hanzhi Zhang,
author,Menghan Zhang,
author,Jan Zrzavý,

datatype,distance,precomputed distance data
datatype,ethnographic features,ethnographic features
datatype,lexical cognates,cognate data
datatype,lexical cognates (autodetected),auto detected cognate data
datatype,lexemes,raw lexical data
datatype,morphological traits,morphological characters
datatype,mixed,mixed datatypes
datatype,phonetic traits,phonetic characters
datatype,signs,manual alphabet for sign languages
datatype,structural features,structural features
datatype,syntactical features,syntactical features

items,,no specification
items,basic,generic basic vocabulary
items,ethatlas,ethnographic atlas variable
items,swadesh35,Swadesh 35 wordlist
items,swadesh100,Swadesh 100 wordlist
items,swadesh200,Swadesh 200 wordlist
items,ura100,Uralic 100 wordlist
items,subset,Subset of other dataset
items,leipzigjakarta,Leipzig-Jakarta list
items,leipzigjakartajena,Leipzig-Jakarta-Jena list
items,yakhontov35,Yakhontov's 35 list

tool,ape
tool,barrier
tool,bayesphylogenies,http://www.evolution.reading.ac.uk/BayesPhy.html
tool,bayestraits,http://www.evolution.reading.ac.uk/BayesTraits.html
tool,beast,https://beast.community
tool,beast2,http://www.beast2.org/
tool,caper,R package caper
tool,hisse,R package hisse
tool,iqtree,
tool,lingpy,
tool,macclade,
tool,mesquite,
tool,network,
tool,mrbayes,http://nbisweden.github.io/MrBayes/
tool,paup*,
tool,phylip,
tool,picante,
tool,phylogemetric,
tool,pylotiger,
tool,poy5,
tool,punctuatedwebapp,http://www.evolution.reading.ac.uk/pe/index.html
tool,QuartetDist,https://almob.biomedcentral.com/articles/10.1186/1748-7188-1-16
tool,r8s,http://ceiba.biosci.arizona.edu/r8s/index.html
tool,r,misc R
tool,raxml,
tool,revbayes,https://revbayes.github.io/
tool,splitstree,http://www.splitstree.org/
tool,starling,
tool,structure,
tool,tnt,
tool,traitlab,https://sites.google.com/site/traitlab/
tool,unknown,?

type,dating,phylogenetic dating
type,delta,Reticulation metric delta
type,distance,1980s
type,macroevolutionary,Inferring macroevolutionary processes from the data
type,network,Inferring the phylogenetic network of the taxa
type,phylogenetic,Inferring the phylogeny of the taxa
type,phylogeography,Inferring the geography of the taxa
type,structure,structure analysis
type,trait,Inferring trait history
type,tiger,TIGER rates
type,qresidual,Reticulation metric Q-Residual
type,review,

units,ad,anno domini
units,bce,Before Common Era
units,ybp,Years Before Present
units,y2000,Years Before 2000
units,none,No units needed
